City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,nezhinka,51.7676,55.3694,12.09,82,0,3.0,RU,1724281444
325,narrabri,-30.3167,149.7833,19.18,70,65,0.34,AU,1724281445
326,atherton,53.5237,-2.4935,16.3,82,100,2.24,GB,1724281447
327,khash,28.2211,61.2158,24.43,31,16,0.24,IR,1724281448
328,questembert,47.6667,-2.4667,11.32,100,0,1.03,FR,1724281449
329,dickinson,29.4608,-95.0513,33.6,71,6,0.45,US,1724281450
330,erbiceni,47.2667,27.2333,23.01,30,29,1.35,RO,1724281452
331,dadukou,26.5479,101.7054,20.8,88,24,0.52,CN,1724281453
332,emet,39.343,29.2585,19.74,74,2,1.41,TR,1724281396
333,mersa matruh,31.3525,27.2453,27.11,74,0,2.57,EG,1724281455
334,eraan,9.0629,117.7016,26.46,83,100,1.67,PH,1724281456
335,brisas de zicatela,15.8369,-97.0419,30.29,94,20,5.14,MX,1724281457
336,sasebo,33.1592,129.7228,29.24,80,68,3.79,JP,1724281458
337,villa de costa rica,24.5875,-107.3875,35.01,54,100,4.81,MX,1724281459
338,achacachi,-16.05,-68.6833,9.07,76,73,6.29,BO,1724281460
339,nadvoitsy,63.8667,34.3167,12.09,81,3,3.02,RU,1724281462
340,afaahiti,-17.75,-149.2833,23.41,63,70,10.93,PF,1724281463
341,bogorodskoye,56.55,37.8833,12.04,74,65,3.43,RU,1724281464
342,pemangkat,1.1667,108.9667,23.99,90,100,1.72,ID,1724281465
343,monkey bay,-14.0728,34.9201,23.27,51,17,7.11,MW,1724281466
344,keflavik,64.0049,-22.5624,8.24,76,0,8.23,IS,1724281467
345,jieshi,22.8134,115.8257,26.49,83,96,2.55,CN,1724281468
346,port moresby,-9.4431,147.1797,26.68,78,20,5.14,PG,1724281469
347,domna,51.8971,113.1573,15.09,88,0,3.0,RU,1724281471
348,qaqortoq,60.7167,-46.0333,3.63,90,11,1.5,GL,1724281472
349,karratha,-20.7377,116.8463,19.68,80,20,2.28,AU,1724281473
350,sittwe,20.15,92.9,26.79,84,100,1.64,MM,1724281474
351,nantong,32.0303,120.8747,27.78,56,74,3.46,CN,1724281475
352,krasnogorskoye,52.2953,86.1979,13.78,93,91,1.83,RU,1724281476
353,piti village,13.4626,144.6933,29.59,84,75,5.14,GU,1724281477
354,manokwari,-0.8667,134.0833,24.97,87,98,2.89,ID,1724281478
355,gubkinskiy,64.434,76.5026,12.45,68,61,1.97,RU,1724281480
356,ranau,5.9538,116.6641,21.6,88,97,0.24,MY,1724281332
357,zeya,53.75,127.2667,18.21,72,100,0.56,RU,1724281482
358,dubbo,-32.25,148.6167,11.07,93,100,2.57,AU,1724281483
359,talnakh,69.4865,88.3972,13.11,75,99,2.54,RU,1724281484
360,graham,47.0529,-122.2943,20.33,65,100,2.06,US,1724281485
361,konkwesso,10.8469,4.0984,23.35,91,97,1.68,NG,1724281486
